"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\backups\past_games.dart", "Dart", 152, 5, 35, 192
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\backups\preferences.dart", "Dart", 255, 7, 58, 320
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\game\all.dart", "Dart", 2, 0, 1, 3
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\game\game.dart", "Dart", 19, 9, 12, 40
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\game\sub_game_blocs\all.dart", "Dart", 4, 0, 1, 5
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\game\sub_game_blocs\game_action.dart", "Dart", 171, 17, 28, 216
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\game\sub_game_blocs\game_group.dart", "Dart", 209, 8, 17, 234
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\game\sub_game_blocs\game_history.dart", "Dart", 65, 15, 16, 96
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\game\sub_game_blocs\game_state.dart", "Dart", 269, 42, 54, 365
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\leaderboards.dart", "Dart", 108, 7, 19, 134
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\payments.dart", "Dart", 204, 44, 37, 285
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\scroller\all.dart", "Dart", 3, 0, 1, 4
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\scroller\scroller.dart", "Dart", 41, 4, 14, 59
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\scroller\scroller_detector.dart", "Dart", 60, 3, 13, 76
"c:\Users\vittorio\Documents\VS Code\counterspell\lib\logic\sub_blocs\scroller\scroller_generic.dart", "Dart", 119, 8, 41, 168
